source_file,run_id,ticker_limit,model,stage,runtime_seconds,timestamp,git_commit,hostname
2026-05-11_000434_limit_10_logistic_regression/stage_times.csv,2026-05-11_000434_limit_10_logistic_regression,10,logistic_regression,download,3,2026-05-11T00:04:37+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000434_limit_10_logistic_regression/stage_times.csv,2026-05-11_000434_limit_10_logistic_regression,10,logistic_regression,feature_engineering,25,2026-05-11T00:05:02+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000434_limit_10_logistic_regression/stage_times.csv,2026-05-11_000434_limit_10_logistic_regression,10,logistic_regression,train,33,2026-05-11T00:05:35+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000434_limit_10_logistic_regression/stage_times.csv,2026-05-11_000434_limit_10_logistic_regression,10,logistic_regression,backtest,0,2026-05-11T00:05:35+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000434_limit_10_logistic_regression/stage_times.csv,2026-05-11_000434_limit_10_logistic_regression,10,logistic_regression,benchmark,39,2026-05-11T00:06:14+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000434_limit_10_logistic_regression/stage_times.csv,2026-05-11_000434_limit_10_logistic_regression,10,logistic_regression,total_pipeline,100,2026-05-11T00:06:14+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000614_limit_10_random_forest/stage_times.csv,2026-05-11_000614_limit_10_random_forest,10,random_forest,download,2,2026-05-11T00:06:16+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000614_limit_10_random_forest/stage_times.csv,2026-05-11_000614_limit_10_random_forest,10,random_forest,feature_engineering,25,2026-05-11T00:06:41+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000614_limit_10_random_forest/stage_times.csv,2026-05-11_000614_limit_10_random_forest,10,random_forest,train,36,2026-05-11T00:07:17+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000614_limit_10_random_forest/stage_times.csv,2026-05-11_000614_limit_10_random_forest,10,random_forest,backtest,1,2026-05-11T00:07:18+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000614_limit_10_random_forest/stage_times.csv,2026-05-11_000614_limit_10_random_forest,10,random_forest,benchmark,39,2026-05-11T00:07:57+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000614_limit_10_random_forest/stage_times.csv,2026-05-11_000614_limit_10_random_forest,10,random_forest,total_pipeline,103,2026-05-11T00:07:57+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000757_limit_50_logistic_regression/stage_times.csv,2026-05-11_000757_limit_50_logistic_regression,50,logistic_regression,download,7,2026-05-11T00:08:04+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000757_limit_50_logistic_regression/stage_times.csv,2026-05-11_000757_limit_50_logistic_regression,50,logistic_regression,feature_engineering,31,2026-05-11T00:08:35+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000757_limit_50_logistic_regression/stage_times.csv,2026-05-11_000757_limit_50_logistic_regression,50,logistic_regression,train,36,2026-05-11T00:09:11+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000757_limit_50_logistic_regression/stage_times.csv,2026-05-11_000757_limit_50_logistic_regression,50,logistic_regression,backtest,1,2026-05-11T00:09:12+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000757_limit_50_logistic_regression/stage_times.csv,2026-05-11_000757_limit_50_logistic_regression,50,logistic_regression,benchmark,40,2026-05-11T00:09:52+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000757_limit_50_logistic_regression/stage_times.csv,2026-05-11_000757_limit_50_logistic_regression,50,logistic_regression,total_pipeline,115,2026-05-11T00:09:52+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000952_limit_50_random_forest/stage_times.csv,2026-05-11_000952_limit_50_random_forest,50,random_forest,download,6,2026-05-11T00:09:59+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000952_limit_50_random_forest/stage_times.csv,2026-05-11_000952_limit_50_random_forest,50,random_forest,feature_engineering,31,2026-05-11T00:10:30+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000952_limit_50_random_forest/stage_times.csv,2026-05-11_000952_limit_50_random_forest,50,random_forest,train,45,2026-05-11T00:11:15+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000952_limit_50_random_forest/stage_times.csv,2026-05-11_000952_limit_50_random_forest,50,random_forest,backtest,0,2026-05-11T00:11:16+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000952_limit_50_random_forest/stage_times.csv,2026-05-11_000952_limit_50_random_forest,50,random_forest,benchmark,40,2026-05-11T00:11:56+00:00,9b47b38,ip-172-31-93-86
2026-05-11_000952_limit_50_random_forest/stage_times.csv,2026-05-11_000952_limit_50_random_forest,50,random_forest,total_pipeline,123,2026-05-11T00:11:56+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001156_limit_100_logistic_regression/stage_times.csv,2026-05-11_001156_limit_100_logistic_regression,100,logistic_regression,download,13,2026-05-11T00:12:09+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001156_limit_100_logistic_regression/stage_times.csv,2026-05-11_001156_limit_100_logistic_regression,100,logistic_regression,feature_engineering,34,2026-05-11T00:12:43+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001156_limit_100_logistic_regression/stage_times.csv,2026-05-11_001156_limit_100_logistic_regression,100,logistic_regression,train,40,2026-05-11T00:13:23+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001156_limit_100_logistic_regression/stage_times.csv,2026-05-11_001156_limit_100_logistic_regression,100,logistic_regression,backtest,0,2026-05-11T00:13:23+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001156_limit_100_logistic_regression/stage_times.csv,2026-05-11_001156_limit_100_logistic_regression,100,logistic_regression,benchmark,42,2026-05-11T00:14:05+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001156_limit_100_logistic_regression/stage_times.csv,2026-05-11_001156_limit_100_logistic_regression,100,logistic_regression,total_pipeline,129,2026-05-11T00:14:05+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001405_limit_100_random_forest/stage_times.csv,2026-05-11_001405_limit_100_random_forest,100,random_forest,download,11,2026-05-11T00:14:16+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001405_limit_100_random_forest/stage_times.csv,2026-05-11_001405_limit_100_random_forest,100,random_forest,feature_engineering,34,2026-05-11T00:14:50+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001405_limit_100_random_forest/stage_times.csv,2026-05-11_001405_limit_100_random_forest,100,random_forest,train,53,2026-05-11T00:15:43+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001405_limit_100_random_forest/stage_times.csv,2026-05-11_001405_limit_100_random_forest,100,random_forest,backtest,1,2026-05-11T00:15:44+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001405_limit_100_random_forest/stage_times.csv,2026-05-11_001405_limit_100_random_forest,100,random_forest,benchmark,42,2026-05-11T00:16:26+00:00,9b47b38,ip-172-31-93-86
2026-05-11_001405_limit_100_random_forest/stage_times.csv,2026-05-11_001405_limit_100_random_forest,100,random_forest,total_pipeline,141,2026-05-11T00:16:26+00:00,9b47b38,ip-172-31-93-86
